# Title: Global Land and Ocean Precipitation
# Units: Millimeters
# Base Period: 1991-2020
# Missing: -9999
Date,Anomaly
200001,83.37
200002,74.06
200003,81.60
200004,78.47
200005,83.31
200006,80.66
200007,84.13
200008,84.54
200009,81.91
200010,83.08
200011,80.13
200012,83.14
200101,81.10
200102,72.59
200103,81.89
200104,79.19
200105,83.17
200106,81.89
200107,85.49
200108,83.19
200109,79.85
200110,83.38
200111,81.86
200112,82.45
200201,86.00
200202,75.82
200203,85.64
200204,78.41
200205,83.34
200206,83.67
200207,83.80
200208,84.93
200209,80.81
200210,80.49
200211,80.78
200212,83.37
200301,85.59
200302,76.19
200303,85.61
200304,79.67
200305,83.56
200306,80.83
200307,84.10
200308,84.61
200309,82.17
200310,82.13
200311,80.21
200312,84.75
200401,84.16
200402,80.45
200403,86.86
200404,79.97
200405,82.93
200406,82.16
200407,80.26
200408,84.42
200409,78.91
200410,82.39
200411,81.29
200412,85.63
200501,85.81
200502,77.22
200503,87.64
200504,82.00
200505,83.08
200506,80.75
200507,84.91
200508,85.31
200509,81.95
200510,83.40
200511,78.51
200512,83.37
200601,86.10
200602,76.36
200603,86.75
200604,79.77
200605,81.29
200606,81.77
200607,83.88
200608,85.79
200609,82.54
200610,84.75
200611,80.71
200612,84.61
200701,86.44
200702,76.86
200703,85.42
200704,79.40
200705,82.70
200706,82.62
200707,85.58
200708,82.55
200709,79.97
200710,81.40
200711,81.00
200712,84.28
200801,83.65
200802,79.54
200803,82.16
200804,77.73
200805,80.49
200806,81.13
200807,85.05
200808,82.36
200809,81.59
200810,81.14
200811,80.87
200812,83.06
200901,85.12
200902,75.36
200903,83.22
200904,80.37
200905,81.02
200906,78.63
200907,85.87
200908,84.61
200909,82.15
200910,81.64
200911,82.71
200912,83.99
201001,86.17
201002,77.58
201003,86.65
201004,79.25
201005,86.19
201006,82.86
201007,84.78
201008,85.46
201009,80.95
201010,83.68
201011,80.62
201012,83.03
201101,83.42
201102,76.74
201103,82.30
201104,79.28
201105,81.99
201106,81.02
201107,83.99
201108,84.59
201109,79.70
201110,80.80
201111,79.71
201112,83.27
201201,83.01
201202,76.97
201203,84.02
201204,78.62
201205,80.68
201206,81.01
201207,83.90
201208,83.91
201209,82.23
201210,81.05
201211,78.66
201212,84.13
201301,86.20
201302,76.99
201303,84.01
201304,79.75
201305,82.73
201306,81.22
201307,83.35
201308,82.74
201309,80.59
201310,81.91
201311,81.63
201312,83.92
201401,84.60
201402,74.94
201403,83.09
201404,77.24
201405,82.89
201406,81.59
201407,84.70
201408,82.52
201409,79.95
201410,82.22
201411,81.48
201412,79.17
201501,86.53
201502,75.72
201503,86.08
201504,77.09
201505,82.36
201506,82.32
201507,84.87
201508,86.53
201509,82.17
201510,83.81
201511,81.84
201512,85.12
201601,88.01
201602,81.77
201603,84.83
201604,80.83
201605,83.18
201606,81.44
201607,84.27
201608,85.88
201609,79.99
201610,82.94
201611,82.44
201612,83.19
201701,84.16
201702,75.09
201703,83.59
201704,80.00
201705,83.37
201706,81.06
201707,84.61
201708,83.75
201709,81.12
201710,84.56
201711,80.06
201712,84.19
201801,82.33
201802,75.87
201803,83.93
201804,77.24
201805,79.31
201806,79.82
201807,84.03
201808,83.03
201809,79.68
201810,82.24
201811,79.65
201812,85.06
201901,84.24
201902,76.61
201903,82.86
201904,80.33
201905,80.77
201906,82.57
201907,82.45
201908,83.86
201909,80.81
201910,80.60
201911,79.82
201912,83.71
202001,83.96
202002,79.73
202003,84.22
202004,78.27
202005,83.85
202006,80.70
202007,83.67
202008,83.36
202009,80.54
202010,82.91
202011,79.45
202012,79.66
202101,82.03
202102,73.68
202103,81.61
202104,76.14
202105,83.42
202106,79.36
202107,84.74
202108,81.80
202109,80.47
202110,83.04
202111,77.28
202112,81.97
202201,83.34
202202,73.47
202203,83.64
202204,77.22
202205,82.32
202206,79.61
202207,84.81
202208,82.28
202209,81.25
202210,81.55
202211,77.61
202212,81.77
202301,80.84
202302,73.35
202303,81.06
202304,75.45
202305,82.26
202306,82.05
202307,85.02
202308,84.45
202309,82.31
202310,85.59
202311,81.22
202312,84.35
202401,85.38
202402,79.66
202403,85.96
202404,79.72
202405,84.14
202406,82.07
202407,85.37
202408,84.53
202409,80.80
202410,84.96
