id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 53083593 ,5b120451-5abb-11e8-911c-28924ad12c5c,  -20.888000 ,  -47.889000 ,2009-12-06 16:39:00,Brasil,SÃO PAULO,SALES OLIVEIRA,Cerrado
 50475099 ,56acbfa8-5abb-11e8-911c-28924ad12c5c,  -20.446000 ,  -48.048000 ,2009-07-23 17:29:00,Brasil,SÃO PAULO,IPUÃ,Cerrado
 52718872 ,3113a511-5abb-11e8-911c-28924ad12c5c,  -23.089000 ,  -49.301000 ,2009-11-14 17:15:00,Brasil,SÃO PAULO,MANDURI,Mata Atlântica
 51885046 ,56c1b4e0-5abb-11e8-911c-28924ad12c5c,  -21.297000 ,  -51.470000 ,2009-09-24 16:46:00,Brasil,SÃO PAULO,JUNQUEIRÓPOLIS,Mata Atlântica
 51885045 ,56c1b4df-5abb-11e8-911c-28924ad12c5c,  -21.302000 ,  -51.452000 ,2009-09-24 16:46:00,Brasil,SÃO PAULO,JUNQUEIRÓPOLIS,Mata Atlântica
 51885041 ,56c1b4dc-5abb-11e8-911c-28924ad12c5c,  -22.222000 ,  -47.332000 ,2009-09-24 16:46:00,Brasil,SÃO PAULO,LEME,Mata Atlântica
 51885037 ,56c1b4db-5abb-11e8-911c-28924ad12c5c,  -21.294000 ,  -51.446000 ,2009-09-24 16:46:00,Brasil,SÃO PAULO,JUNQUEIRÓPOLIS,Mata Atlântica
 51928934 ,56c24ba3-5abb-11e8-911c-28924ad12c5c,  -21.382000 ,  -50.325000 ,2009-09-26 16:34:00,Brasil,SÃO PAULO,COROADOS,Mata Atlântica
 51951521 ,56c2d7c8-5abb-11e8-911c-28924ad12c5c,  -20.546000 ,  -48.636000 ,2009-09-27 17:17:00,Brasil,SÃO PAULO,BARRETOS,Cerrado
 51951095 ,56c2d77c-5abb-11e8-911c-28924ad12c5c,  -22.240000 ,  -48.535000 ,2009-09-27 17:16:00,Brasil,SÃO PAULO,JAÚ,Mata Atlântica
 51951086 ,56c2d779-5abb-11e8-911c-28924ad12c5c,  -21.628000 ,  -47.984000 ,2009-09-27 17:16:00,Brasil,SÃO PAULO,RINCÃO,Cerrado
 51951035 ,56c2d768-5abb-11e8-911c-28924ad12c5c,  -22.264000 ,  -47.794000 ,2009-09-27 17:16:00,Brasil,SÃO PAULO,ITIRAPINA,Cerrado
 51951034 ,56c2d767-5abb-11e8-911c-28924ad12c5c,  -21.620000 ,  -47.998000 ,2009-09-27 17:16:00,Brasil,SÃO PAULO,RINCÃO,Cerrado
