# Title: Global Land Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Date,Anomaly
200001,0.40
200002,1.02
200003,0.98
200004,1.17
200005,0.51
200006,0.62
200007,0.60
200008,0.64
200009,0.61
200010,0.21
200011,0.24
200012,0.20
200101,0.68
200102,0.59
200103,0.80
200104,0.72
200105,0.83
200106,0.64
200107,0.92
200108,0.69
200109,0.76
200110,0.54
200111,1.20
200112,0.98
200201,1.19
200202,1.14
200203,1.52
200204,0.69
200205,1.01
200206,0.73
200207,1.00
200208,0.84
200209,0.93
200210,0.80
200211,0.88
200212,0.57
200301,1.25
200302,0.96
200303,0.79
200304,0.82
200305,0.88
200306,0.51
200307,0.71
200308,0.86
200309,1.00
200310,1.18
200311,0.69
200312,1.31
200401,0.92
200402,1.07
200403,1.06
200404,0.85
200405,0.33
200406,0.46
200407,0.15
200408,0.49
200409,0.67
200410,0.89
200411,1.15
200412,0.69
200501,1.41
200502,1.01
200503,1.31
200504,1.13
200505,0.99
200506,0.99
200507,0.88
200508,0.75
200509,1.16
200510,1.35
200511,1.52
200512,1.43
200601,0.99
200602,1.49
200603,1.18
200604,0.77
200605,0.73
200606,0.95
200607,0.70
200608,1.13
200609,0.99
200610,1.11
200611,1.05
200612,1.40
200701,1.81
200702,1.19
200703,1.24
200704,1.59
200705,1.13
200706,0.90
200707,0.96
200708,0.98
200709,1.08
200710,1.17
200711,1.21
200712,1.03
200801,0.29
200802,0.45
200803,1.56
200804,0.91
200805,0.83
200806,0.63
200807,0.89
200808,0.66
200809,0.93
200810,1.21
200811,1.37
200812,1.02
200901,1.28
200902,0.90
200903,0.80
200904,0.85
200905,0.88
200906,0.81
200907,1.02
200908,0.94
200909,1.27
200910,1.02
200911,1.22
200912,0.93
201001,1.10
201002,1.32
201003,1.53
201004,1.49
201005,1.23
201006,0.99
201007,0.96
201008,0.94
201009,1.04
201010,1.31
201011,1.64
201012,0.83
201101,0.93
201102,0.79
201103,1.20
201104,1.24
201105,0.82
201106,0.93
201107,1.21
201108,1.25
201109,1.08
201110,1.31
201111,0.94
201112,1.14
201201,0.87
201202,0.83
201203,0.88
201204,1.38
201205,1.34
201206,1.16
201207,0.88
201208,0.93
201209,1.17
201210,1.33
201211,1.29
201212,0.60
201301,1.20
201302,0.91
201303,1.04
201304,0.82
201305,0.98
201306,1.14
201307,0.74
201308,0.93
201309,1.23
201310,1.03
201311,1.38
201312,1.20
201401,1.29
201402,0.78
201403,1.44
201404,1.26
201405,1.28
201406,0.84
201407,0.66
201408,1.12
201409,1.20
201410,1.14
201411,0.84
201412,1.28
201501,1.37
201502,1.58
201503,1.66
201504,1.16
201505,1.07
201506,1.14
201507,0.90
201508,1.02
201509,1.22
201510,1.60
201511,1.56
201512,1.78
201601,1.95
201602,2.52
201603,2.46
201604,1.92
201605,1.40
201606,0.99
201607,1.11
201608,1.53
201609,1.47
201610,1.25
201611,1.63
201612,1.51
201701,1.80
201702,1.94
201703,1.96
201704,1.44
201705,1.35
201706,0.91
201707,1.10
201708,1.17
201709,1.28
201710,1.48
201711,1.48
201712,1.84
201801,1.43
201802,1.61
201803,1.48
201804,1.45
201805,1.23
201806,1.14
201807,1.24
201808,1.15
201809,1.13
201810,1.66
201811,1.14
201812,1.44
201901,1.46
201902,1.36
201903,2.10
201904,1.74
201905,1.31
201906,1.19
201907,1.20
201908,1.27
201909,1.43
201910,1.67
201911,1.53
201912,1.93
202001,1.96
202002,2.18
202003,1.89
202004,1.86
202005,1.51
202006,1.32
202007,1.24
202008,1.23
202009,1.68
202010,1.50
202011,2.09
202012,1.43
202101,1.47
202102,0.90
202103,1.58
202104,1.25
202105,1.25
202106,1.22
202107,1.32
202108,1.31
202109,1.49
202110,1.71
202111,1.55
202112,1.51
202201,1.50
202202,1.48
202203,2.00
202204,1.44
202205,1.23
202206,1.41
202207,1.37
202208,1.35
202209,1.26
202210,1.61
202211,0.95
202212,1.16
202301,1.39
202302,1.74
202303,2.17
202304,1.29
202305,1.23
202306,1.40
202307,1.58
202308,1.76
202309,2.31
202310,2.15
202311,2.37
202312,2.21
202401,1.91
202402,2.27
202403,2.12
202404,1.93
202405,1.62
202406,1.77
202407,1.74
202408,1.95
202409,1.92
202410,2.18
