id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 9988844 ,5e86447e-5abb-11e8-911c-28924ad12c5c,  -21.788000 ,  -47.332000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,SANTA CRUZ DAS PALMEIRAS,Mata Atlântica
 9988842 ,5e86447c-5abb-11e8-911c-28924ad12c5c,  -21.684000 ,  -49.943000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,PROMISSÃO,Mata Atlântica
 9988836 ,5e864476-5abb-11e8-911c-28924ad12c5c,  -20.766000 ,  -47.406000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,PATROCÍNIO PAULISTA,Cerrado
 9988832 ,5e864472-5abb-11e8-911c-28924ad12c5c,  -22.349000 ,  -48.453000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,DOIS CÓRREGOS,Mata Atlântica
 9988828 ,5e86446e-5abb-11e8-911c-28924ad12c5c,  -21.944000 ,  -47.862000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,SÃO CARLOS,Cerrado
 9988827 ,5e86446d-5abb-11e8-911c-28924ad12c5c,  -22.351000 ,  -48.463000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,DOIS CÓRREGOS,Mata Atlântica
 9988825 ,5e86446b-5abb-11e8-911c-28924ad12c5c,  -21.842000 ,  -48.461000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,GAVIÃO PEIXOTO,Cerrado
 9988824 ,5e86446a-5abb-11e8-911c-28924ad12c5c,  -20.419000 ,  -49.027000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,GUARACI,Mata Atlântica
 9988823 ,5e864469-5abb-11e8-911c-28924ad12c5c,  -21.442000 ,  -49.794000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,PROMISSÃO,Mata Atlântica
 9988820 ,5e864466-5abb-11e8-911c-28924ad12c5c,  -21.799000 ,  -47.273000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,SANTA CRUZ DAS PALMEIRAS,Mata Atlântica
 9988819 ,5e864465-5abb-11e8-911c-28924ad12c5c,  -20.682000 ,  -48.517000 ,2003-05-15 17:04:00,Brasil,SÃO PAULO,COLINA,Cerrado
